"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"KZ000038062","1933-01-01","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -22",",,S",,,"  -47","H,,S"
"KZ000038062","1933-01-06","44.85","65.5","130.0","KYZYLORDA, KZ",,,,," -111",",,S",,," -154","H,,S"
"KZ000038062","1933-01-08","44.85","65.5","130.0","KYZYLORDA, KZ",,,,," -128",",,S"," -250",",,S"," -185","H,,S"
"KZ000038062","1933-01-09","44.85","65.5","130.0","KYZYLORDA, KZ",,,,," -122",",,S",,," -188","H,,S"
"KZ000038062","1933-01-11","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -78",",,S"," -128",",,S","  -89","H,,S"
"KZ000038062","1933-01-12","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -28",",,S"," -100",",,S","  -56","H,,S"
"KZ000038062","1933-01-13","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -39",",,S",,," -103","H,,S"
"KZ000038062","1933-01-21","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -72",",,S",,," -111","H,,S"
"KZ000038062","1933-01-25","44.85","65.5","130.0","KYZYLORDA, KZ",,,,," -200",",,S"," -300",",,S"," -235","H,,S"
"KZ000038062","1933-01-27","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -11",",,S"," -122",",,S","  -71","H,,S"
"KZ000038062","1933-01-29","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -72",",,S"," -189",",,S"," -117","H,,S"
"KZ000038062","1933-01-31","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,,,"  -89",",,S","  -24","H,,S"
"KZ000038062","1933-02-01","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,,,,,"  -56","H,,S"
"KZ000038062","1933-02-02","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"  -61",",,S",,,"  -78","H,,S"
"KZ000038062","1933-02-04","44.85","65.5","130.0","KYZYLORDA, KZ",,,,," -111",",,S"," -178",",,S"," -126","H,,S"
"KZ000038062","1933-02-07","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,,," -172",",,S"," -125","H,,S"
"KZ000038062","1933-02-16","44.85","65.5","130.0","KYZYLORDA, KZ",,,,,"   22",",,S","    0",",,S","    8","H,,S"
