"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"RSM00031005","1936-04-19","58.95","126.3","283.0","TOMMOT, RS",,,,,,,,,"   15","H,,S"
"RSM00031005","1936-10-21","58.95","126.3","283.0","TOMMOT, RS",,,,,"  -61",",,S"," -178",",,S"," -150","H,,S"
"RSM00031005","1936-10-26","58.95","126.3","283.0","TOMMOT, RS",,,,,,," -100",",,S","  -92","H,,S"
"RSM00031005","1936-11-04","58.95","126.3","283.0","TOMMOT, RS",,,,," -122",",,S"," -172",",,S"," -147","H,,S"
"RSM00031005","1936-11-22","58.95","126.3","283.0","TOMMOT, RS",,,,," -250",",,S"," -372",",,S"," -300","H,,S"
"RSM00031005","1936-11-23","58.95","126.3","283.0","TOMMOT, RS",,,,," -272",",,S"," -322",",,S"," -306","H,,S"
"RSM00031005","1936-11-27","58.95","126.3","283.0","TOMMOT, RS",,,,," -300",",,S"," -400",",,S"," -368","H,,S"
"RSM00031005","1936-12-05","58.95","126.3","283.0","TOMMOT, RS",,,,,,,,," -222","H,,S"
"RSM00031005","1936-12-06","58.95","126.3","283.0","TOMMOT, RS",,,,," -189",",,S",,," -207","H,,S"
"RSM00031005","1936-12-08","58.95","126.3","283.0","TOMMOT, RS",,,,," -222",",,S"," -339",",,S"," -285","H,,S"
"RSM00031005","1936-12-11","58.95","126.3","283.0","TOMMOT, RS",,,,," -261",",,S",,," -315","H,,S"
"RSM00031005","1936-12-25","58.95","126.3","283.0","TOMMOT, RS",,,,," -189",",,S"," -328",",,S"," -235","H,,S"
"RSM00031005","1936-12-27","58.95","126.3","283.0","TOMMOT, RS",,,,," -200",",,S"," -239",",,S"," -215","H,,S"
"RSM00031005","1937-01-01","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-01-02","58.95","126.3","283.0","TOMMOT, RS","    1",",,I",,,,,,,,
"RSM00031005","1937-01-03","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-01-04","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-01-05","58.95","126.3","283.0","TOMMOT, RS","    8",",,I",,,,,,,,
"RSM00031005","1937-01-06","58.95","126.3","283.0","TOMMOT, RS","    5",",,I",,,,,,,,
"RSM00031005","1937-01-07","58.95","126.3","283.0","TOMMOT, RS","    1",",,I",,,,,,,,
"RSM00031005","1937-01-08","58.95","126.3","283.0","TOMMOT, RS","    1",",,I",,,,,,,,
"RSM00031005","1937-01-09","58.95","126.3","283.0","TOMMOT, RS","    3",",,I",,,,,,,,
"RSM00031005","1937-01-10","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-01-11","58.95","126.3","283.0","TOMMOT, RS","    4",",,I",,,,,,,,
"RSM00031005","1937-01-12","58.95","126.3","283.0","TOMMOT, RS","   14",",,I",,,,,,,,
"RSM00031005","1937-01-13","58.95","126.3","283.0","TOMMOT, RS","   19",",,I",,,,,,,,
"RSM00031005","1937-01-14","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-01-15","58.95","126.3","283.0","TOMMOT, RS","   11",",,I",,,,,,,,
"RSM00031005","1937-01-16","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-01-17","58.95","126.3","283.0","TOMMOT, RS","   10",",,I",,,,,,,,
"RSM00031005","1937-01-18","58.95","126.3","283.0","TOMMOT, RS","   12",",,I",,,,,,,,
"RSM00031005","1937-01-19","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-01-20","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-01-21","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-01-22","58.95","126.3","283.0","TOMMOT, RS","    5",",,I",,,,,,,,
"RSM00031005","1937-01-23","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-01-24","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-01-25","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-01-26","58.95","126.3","283.0","TOMMOT, RS","    9",",,I",,,,,,,,
"RSM00031005","1937-01-27","58.95","126.3","283.0","TOMMOT, RS","    9",",,I",,,,,,,,
"RSM00031005","1937-01-28","58.95","126.3","283.0","TOMMOT, RS","    8",",,I",,,,,,,,
"RSM00031005","1937-01-29","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-01-30","58.95","126.3","283.0","TOMMOT, RS","    3",",,I",,,,,,,,
"RSM00031005","1937-01-31","58.95","126.3","283.0","TOMMOT, RS","    9",",,I",,,,,,,,
"RSM00031005","1937-02-01","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-02-02","58.95","126.3","283.0","TOMMOT, RS","    3",",,I",,,,,,,,
"RSM00031005","1937-02-03","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-02-04","58.95","126.3","283.0","TOMMOT, RS","    4",",,I",,,,,,,,
"RSM00031005","1937-02-05","58.95","126.3","283.0","TOMMOT, RS","    9",",,I",,,,,,,,
"RSM00031005","1937-02-06","58.95","126.3","283.0","TOMMOT, RS","    9",",,I",,,,,,,,
"RSM00031005","1937-02-07","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-02-08","58.95","126.3","283.0","TOMMOT, RS","    3",",,I",,,,,,,,
"RSM00031005","1937-02-09","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-02-10","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-02-11","58.95","126.3","283.0","TOMMOT, RS","   27",",,I",,,,,,,,
"RSM00031005","1937-02-12","58.95","126.3","283.0","TOMMOT, RS","   22",",,I",,,,,,,,
"RSM00031005","1937-02-13","58.95","126.3","283.0","TOMMOT, RS","   10",",,I",,,,,,,,
"RSM00031005","1937-02-14","58.95","126.3","283.0","TOMMOT, RS","    1",",,I",,,,,,,,
"RSM00031005","1937-02-15","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-02-16","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-02-17","58.95","126.3","283.0","TOMMOT, RS","   13",",,I",,,,,,,,
"RSM00031005","1937-02-18","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-02-19","58.95","126.3","283.0","TOMMOT, RS","    3",",,I",,,,,,,,
"RSM00031005","1937-02-20","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-02-21","58.95","126.3","283.0","TOMMOT, RS","   11",",,I",,,,,,,,
"RSM00031005","1937-02-22","58.95","126.3","283.0","TOMMOT, RS","    1",",,I",,,,,,,,
"RSM00031005","1937-02-23","58.95","126.3","283.0","TOMMOT, RS","    0","T,,I",,,,,,,,
"RSM00031005","1937-02-24","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-02-25","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-02-26","58.95","126.3","283.0","TOMMOT, RS","    6",",,I",,,,,,,,
"RSM00031005","1937-02-27","58.95","126.3","283.0","TOMMOT, RS","    2",",,I",,,,,,,,
"RSM00031005","1937-02-28","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-03-01","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-03-02","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
"RSM00031005","1937-03-03","58.95","126.3","283.0","TOMMOT, RS","    0",",,I",,,,,,,,
