"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UKM00003100","1937-04-21","56.499","-6.869","11.6","TIREE, UK",,,,,"   89",",,S","   39",",,S","   73","H,,S"
"UKM00003100","1937-04-22","56.499","-6.869","11.6","TIREE, UK",,,,,"  106",",,S","   61",",,S","   94","H,,S"
"UKM00003100","1937-04-23","56.499","-6.869","11.6","TIREE, UK",,,,,"  111",",,S","   72",",,S","   83","H,,S"
"UKM00003100","1937-04-24","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   83",",,S","  103","H,,S"
"UKM00003100","1937-04-25","56.499","-6.869","11.6","TIREE, UK",,,,,"  122",",,S","   78",",,S","   96","H,,S"
"UKM00003100","1937-04-26","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   28",",,S","   98","H,,S"
"UKM00003100","1937-04-27","56.499","-6.869","11.6","TIREE, UK",,,,,"  128",",,S","   89",",,S","   97","H,,S"
"UKM00003100","1937-04-28","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   89",",,S","  130","H,,S"
"UKM00003100","1937-04-29","56.499","-6.869","11.6","TIREE, UK",,,,,"  128",",,S","   94",",,S","  113","H,,S"
"UKM00003100","1937-04-30","56.499","-6.869","11.6","TIREE, UK",,,,,"  128",",,S","   44",",,S","  107","H,,S"
"UKM00003100","1937-05-01","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","   78",",,S","   98","H,,S"
"UKM00003100","1937-05-02","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   33",",,S","  118","H,,S"
"UKM00003100","1937-05-03","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","   83",",,S","  114","H,,S"
"UKM00003100","1937-05-04","56.499","-6.869","11.6","TIREE, UK",,,,,"  139",",,S","   72",",,S","  101","H,,S"
"UKM00003100","1937-05-05","56.499","-6.869","11.6","TIREE, UK",,,,,"  122",",,S","   56",",,S","   89","H,,S"
"UKM00003100","1937-05-06","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   17",",,S","   93","H,,S"
"UKM00003100","1937-05-07","56.499","-6.869","11.6","TIREE, UK",,,,,,,,,"  101","H,,S"
"UKM00003100","1937-05-08","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   72",",,S","  117","H,,S"
